District Name;District ID;PO Group;Purchase Order Number;PO Start Date;PO Expiry Date;License Type;Total License Count;Redeemed Count;Product Titles;Number of Users Assigned
Chesapeake School District;61394;Active PO;KSO4355000002106512_Port_Deu_1_2_3_4;2023-09-08;2028-06-30;User;650;12;"Portfolio Deutsch Neu, Level 1 - Teacher's Manual; Portfolio Deutsch Neu, Level 1 - Textbook; Portfolio Deutsch Neu, Level 1 - Workbook; Portfolio Deutsch Neu, Level 2 - Teacher’s Manual; Portfolio Deutsch Neu, Level 2 - Textbook; Portfolio Deutsch Neu, Level 2 - Workbook; Portfolio Deutsch Neu, Level 3/4 - Teacher's Manual; Portfolio Deutsch Neu, Level 3/4 - Textbook; Portfolio Deutsch Neu, Level 3/4 - Workbook";255
Liberty Union High School District;63555;Active PO;PO2500200_LibertyUnionHSD_HeritageHS_RF1-3_readers;2024-07-22;2031-06-30;User;455;2;"Reporters francophones 3; 24 heures à la Réunion; 24 heures à Paris; 24 heures en Bretagne; Reporters francophones 1; Reporters francophones 2";9
Liberty Union High School District;63555;Active PO;PO2500199_LibertyUnionHSD_FreedomS_RF1-3_readers;2024-07-22;2031-06-30;User;410;2;"Reporters francophones 3; 24 heures à la Réunion; 24 heures à Paris; 24 heures en Bretagne; Reporters francophones 1; Reporters francophones 2";9
Liberty Union High School District;63555;Active PO;PO2500198_LibertyUnionHSD_LibertyHS_RF1-3_readers;2024-07-22;2031-06-30;User;605;2;"Reporters francophones 3; 24 heures à la Réunion; 24 heures à Paris; 24 heures en Bretagne; Reporters francophones 1; Reporters francophones 2";9
Liberty Union High School District;63555;Expired PO;LibertyUnionHSDPilot_Reporteros2;2024-02-02;2024-07-22;User;185;1;Reporteros 2;8
Liberty Union High School District;63555;Expired PO;LibertyUnionHSDpilot_Reporteros3;2024-02-02;2024-07-22;User;170;2;Reporteros 3;8
Liberty Union High School District;63555;Expired PO;LibertyUnionHSDPilot_Reportersfrancophones;2024-02-02;2024-07-22;User;180;2;"Reporters francophones 1; Reporters francophones 2";8
Clarke County School District;63416;Active PO;PO_ 25003413_ClarkeCentralHS_RF_3yr_teacher;2024-09-24;2027-09-28;User;5;2;Reporters francophones 3;4
Clarke County School District;63416;Active PO;PO_25005664_CoileMS_Reporteros1;2024-12-13;2025-06-30;User;30;2;Reporteros 1;5
Clarke County School District;63416;Active PO;PO_25005661_ClarkeMS_Reportersfrancophones1;2024-12-13;2025-06-30;User;64;2;Reporters francophones 1;53
Clarke County School District;63416;Active PO;PO_25005663_HilsmanMS_Reporteros1;2024-12-13;2025-06-30;User;72;2;Reporteros 1;5
Clarke County School District;63416;Active PO;PO_25005661_ClarkeMS_Reporteros_1;2024-12-13;2025-06-30;User;103;3;Reporteros 1;114
Clarke County School District;63416;Active PO;PO_25005662_Burney-Harris-LyonsMS_Reporters_Francophones_1;2024-12-13;2025-06-30;User;68;2;Reporters francophones 1;42
Clarke County School District;63416;Active PO;PO_25005662_Burney-Harris-LyonsMS_Reporteros_1;2024-12-13;2025-06-30;User;58;2;Reporteros 1;5
Clarke County School District;63416;Active PO;PO_25005665_Cedar_Shoals_HS_RF_1_3;2024-12-13;2025-06-30;User;93;2;"Reporters francophones 3; Reporters francophones 1; Reporters francophones 2";45
Clarke County School District;63416;Active PO;PO_25005665_Cedar_Shoals_HS_Reporteros_1_3;2024-12-13;2025-06-30;User;381;2;"Reporteros 1; Reporteros 2 ; Reporteros 3";201
Clarke County School District;63416;Active PO;PO_25005666_Clarke_Central_HS_Rep_Francophones_1_3;2024-12-13;2025-06-30;User;280;2;"Reporters francophones 3; Reporters francophones 1; Reporters francophones 2";29
Clarke County School District;63416;Active PO;PO_25005666_Clarke_Central_HS_Reporteros_1_3;2024-12-13;2025-06-30;User;433;2;"Reporteros 1; Reporteros 2 ; Reporteros 3";245
Clarke County School District;63416;Active PO;ClarkeCounty_CCSDLearningCenter_Reporteros1;2025-04-23;2025-06-30;User;7;2;Reporteros 1;6
Clarke County School District;63416;Expired PO;ClarkeCountySchoolDistrict_Pilot_REPORTEROS;2024-01-08;2024-12-31;User;2000;7;"Reporteros 1; Reporteros 2 ; Reporteros 3";364
Clarke County School District;63416;Expired PO;ClarkeCountySchoolDistrict_Pilot_RF;2024-01-08;2024-12-31;User;1050;5;"Reporters francophones 1; Reporters francophones 2";125
Clarke County School District;63416;Expired PO;clarkeCounty_ PO_24006476_spanish_readers;2024-02-15;2024-12-31;User;127;3;"Me despierto y bailo; Todo para todos; Un gol fantástico";45
Clarke County School District;63416;Expired PO;clarkeCounty_ PO_24006477_spanish_readers;2024-02-15;2024-12-31;User;127;2;"Me despierto y bailo; Todo para todos; Un gol fantástico";5
Clarke County School District;63416;Expired PO;clarkeCounty_ PO_24006480_spanish_readers;2024-02-15;2024-12-31;User;32;2;"Me despierto y bailo; Todo para todos; Un gol fantástico";5
Clarke County School District;63416;Expired PO;clarkeCounty_ PO_24006481_spanish_readers;2024-02-15;2024-12-31;User;40;1;"Me despierto y bailo; Todo para todos; Un gol fantástico";3
Clarke County School District;63416;Expired PO;clarkeCounty_ PO_25000490_reportersfrancophones3;2024-07-19;2024-12-31;User;100;2;Reporters francophones 3;5
Clarke County School District;63416;Expired PO;PO_ 25003413_ClarkeCentralHS_Reportersfranc3_6mo;2024-09-24;2025-04-11;User;70;2;Reporters francophones 3;4
College Place School Dist 250;70963;Expired PO;CollegePlace_Pilot_Reporteros1-3;2024-08-22;2025-01-10;User;165;2;"Reporteros 1; Reporteros 2 ; Reporteros 3";57
Bloomfield Hills School Dist;60961;Active PO;PO_25000243_Reporteros_1_2;2024-08-14;2025-09-17;User;22;2;"Reporteros 1; Reporteros 2";22
Bloomfield Hills School Dist;60961;Active PO;PO_P2500019_Reporteros_1_2;2024-08-15;2025-09-18;User;22;1;"Reporteros 1; Reporteros 2";12
Bloomfield Hills School Dist;60961;Expired PO;Bloomfield_Pilot_Reporteros3-4;2024-05-14;2024-09-30;User;25;2;"Reporteros 3; Reporteros 4 - Sample unit";21
Bloomfield Hills School Dist;60961;Expired PO;SO-108 Reporteros 1 and 2;2023-08-23;2024-09-25;User;1125;2;"Reporteros 1; Reporteros 2";443
Oak Grove School District 68;69616;Active PO;PO107458_OakGrove_ReportersFrancophonesSeries;2024-08-23;2025-09-26;User;120;2;"Reporters francophones 1; Reporters francophones 1A; Reporters francophones 1B; Reporters francophones 2";100
Eastport-South Manor Ctrl School District;61907;Active PO;EASTPORTSOUTH_Reportersfrancophones;2023-09-27;2026-09-26;User;500;2;"Reporters francophones 1; Reporters francophones 2";68
Eastport-South Manor Ctrl School District;61907;Active PO;PO#110472_EASTPORTSOUTH_Reporteros_plus_Readers;;2025-10-22;User;;;;0
Eastport-South Manor Ctrl School District;61907;Active PO;PO#110472_EASTPORTSOUTH_ReportersFrancophones;;2025-10-22;User;;;;0
Eastport-South Manor Ctrl School District;61907;Expired PO;EASTPORTSOUTH_Reporteros_plus_Readers;2023-09-29;2024-11-01;User;1000;2;"Reporteros 1; Un gol fantástico";473
Waukee Community School District;71246;Active PO;PO#2411565_WaukeeCSD_Reporteros1-3;;2030-10-02;User;;;;0
Waukee Community School District;71246;Active PO;PO2511073_WaukeeCSD_Reporteros4;2025-04-21;2030-10-02;User;2017;1;Reporteros 4;14
