districtId,districtName,schoolId,schoolName,studentcount,teachercount,purchaseOrderNumber,startDate,expiryDate,totalLicenseCount,licenseConsumeCount,productTitles
__NO_DISTRICT__,No Parent District,55194,Klett World Languages Demo Academy,,,Trevor Day School (NY)_DEMO,2025-02-19,2025-08-13,3,2,Reporteros 1
__NO_DISTRICT__,No Parent District,55194,Klett World Languages Demo Academy,,,Triad Baptist Christian Academy (NC) ,2025-05-22,2025-12-07,3,2,"Generación AP® - Sample Unit, Mapas 1, Mapas 2, Mapas 3, Mapas 4, Reporteros 1, Reporteros 2 , Reporteros 3, Reporteros 4"
__NO_DISTRICT__,No Parent District,55194,Klett World Languages Demo Academy,,,Triangle Day School (NC) _DEMO,2025-06-10,2025-09-12,3,2,"Me despierto y bailo, Todo para todos, Un gol fantástico"
__NO_DISTRICT__,No Parent District,55194,Klett World Languages Demo Academy,,,Trinity School (GA) DEMO,2025-06-24,2025-10-01,3,2,"Alba y Gael 1, Alba y Gael 2, Alba y Gael 3, Cap sur 1, Cap sur 2, Cap sur 3, Mapas 1, Mapas 2, Mapas 3, Mapas 4, Reporteros 1, Reporteros 2 , Reporteros 3, Reporteros 4, Reporters francophones 1, Reporters francophones 2, Reporters francophones 3, Reporters francophones 4"
__NO_DISTRICT__,No Parent District,55194,Klett World Languages Demo Academy,,,Troy School District (MI)_DEMO,2024-10-30,2025-12-03,3,3,"24 heures à Bruxelles, 24 heures à la Réunion, 24 heures à Montréal, 24 heures à Paris, 24 heures en Bretagne, 24 heures en Provence, Défi francophone 1, Défi francophone 2, Klasse! A1 - The KWL Hub for Teachers, Klasse! A2 - The KWL Hub for Teachers, Klasse! B1 - The KWL Hub for Teachers, Portfolio Deutsch Neu, Level 1 - Teacher's Manual, Portfolio Deutsch Neu, Level 1 - Textbook, Portfolio Deutsch Neu, Level 1 - Workbook, Portfolio Deutsch Neu, Level 2 - Teacher’s Manual, Portfolio Deutsch Neu, Level 2 - Textbook, Portfolio Deutsch Neu, Level 2 - Workbook, Portfolio Deutsch Neu, Level 3/4 - Teacher's Manual, Portfolio Deutsch Neu, Level 3/4 - Textbook, Portfolio Deutsch Neu, Level 3/4 - Workbook, Reporters francophones 1, Reporters francophones 2, Reporters francophones 3"
__NO_DISTRICT__,No Parent District,55194,Klett World Languages Demo Academy,,,Trumbull High School (CT) DEMO,2025-03-24,2025-10-09,3,2,"Reporters francophones 1, Reporters francophones 2, Reporters francophones 3, Reporters francophones 4 - Sample Unit"
__NO_DISTRICT__,No Parent District,70303,Tufts University,,,Tufts_University_2025_2026_prof_davvero1,2025-04-30,2026-06-01,400,4,Davvero 1
__NO_DISTRICT__,No Parent District,70303,Tufts University,,,Tufts_University_2025_2026_prof_ID1,2025-05-20,2026-07-31,1000,3,"ID1 LERNEN (before-class), ID1 MACHEN (In-Class), ID1 MACHEN (In-Class) - ANNOTATED INSTRUCTOR'S EDITION, ID1 ZEIGEN (after-class)"
__NO_DISTRICT__,No Parent District,70303,Tufts University,,,Tufts_University_2025_2026_prof_proyectos,2025-07-07,2026-06-30,10000,7,"Proyectos 1, Proyectos 2"
__NO_DISTRICT__,No Parent District,55194,Klett World Languages Demo Academy,,,TUFTSUNIVERSITY_DEMO,2024-04-18,2025-09-26,4,2,"Davvero 1, Davvero 2, Proyectos 1, Proyectos 2"
