school_name,school_id
Hinkley High School,76133
Portland Alternative Ed,76015
Alameda High School,76010
Encinal Jr-Sr High School,76009
Lincoln Middle School,76008
21729-Eastern High,60553
21729-Hawthorne Elementary,71255
21729-Ballard High,60386
21729-Mill Creek Elementary,60935
21729-Rutherford Elementary,60936
21729-Grace M. James Academy of Excellence,60937
Husky,75985
DEMO - Tempe Union High School District (AZ),75911
East High School,68938
Brookfield Central High School,61475
Wisconsin Hills Middle School,61474
Pilgrim Park Middle School,61473
Brookfield East High School,61472
Liberty High School,68683
Freedom High School,63556
Heritage High School,63557
Canvas Sandbox KWL Demo 2025,75814
NUSD Online,75759
Wayzata High School,62964
Saratoga High School - Canvas,75728
RPMA High School,71017
RPMA ES/MS,71016
Rabun Gap-Nacoochee School,69206
TWO RIVERS SCHOOL,61328
Ogden High School,68395
Sub Account,75625
Lafayette College,75615
John Hersey High School,60073
Prospect High School,60072
Rolling Meadows High School,60071
Buffalo Grove High School,60070
Wheeling High School,60069
Ollivier Middle School,72240
El Puente School,61966
Waukee High School,71247
Rangeview High School,68454
Gateway High School,68453
High School,70906
Comet Academy,74880
Mound Fort Jr. High School,68389
Mount Ogden Jr. High School,68391
Highland Jr. High School,68388
De Portola Middle,72808
Legacy Knoll Middle School,68189
West Jackson Middle School,67116
Milford High School,61852
HS Independent Study,69415
Dearborn Magnet School,73580
Mark Keppel High School,59945
San Gabriel High School,59946
Klett World Languages Demo Academy 2,74711
Hesperia High School,69254
Murrieta Options Academy,73158
Thompson Middle School,73157
Shivela Middle School,73156
Murrieta Valley High School,71999
Vista Murrieta High School,72000
Murrieta Mesa High School,72001
Murrieta Canyon Academy,72002
KWL Florida Adoption,74647
21421-21421-St. Luke's School,61617
Granby Memorial High School,74325
Granby Memorial Middle School,74324
Hollow Rock-Bruceton Special School District,74183
North Middle School,71459
Southern Berkshire Test School,74276
Southern Berkshire Regional Test School,74275
Binghamton University,74219
Old Saybrook High School,74217
BROADMOOR ELEMENTARY SCHOOL,68714
21340-Schoology Sandbox,68678
Intersession - Migrant,73630
Wallingford-Swarthmore School PA,74044
Columbia University,73993
Klett World Languages Demo Academy,55194
Class Management Training,73985
NK ONLINE ACADEMY and PAL,63806
William Rainey Harper,61710
Luis Munoz Marin,72370
Garfield,73535
Campus International,73534
Buhrer Dual Language,72073
Loyola Blakefield High School,73847
University of California Berkeley2024-11-20 21:25:11.497,72743
University of Oregon,73780
Culpeper County Public Schools -- Lotterhos,73527
Paradise Valley USD DEMO,73754
21189-Oxford Community Schools - Schoology,72294
City of St Charles School District R6 MO,73532
GC School,73584
Smith Middle School,73540
Unis Middle School,73541
UC Berkeley,73528
Eastern View High School,71299
Culpeper County High School,71297
Fordson Senior High,73519
Edsel Ford Senior High,73518
Portland High School,73517
Dearborn Senior High,73515
21164-St. Charles West High School,68630
21164-Hardin Middle School,68631
21164-St. Charles High School,68632
Holten-Richmond Middle School,73464
Millikan High School,61096
Klett Classlink Test,57761
Cranston High School East,73305
PUC Excel Charter Academy,72235
Wayne State University,73291
Prince George's County Public Schools,73219
Eastport South Manor Jr-Sr High School,61908
Nogales High School,73152
La Serna High School,73034
Pioneer High School,73033
Santa Fe High School,73031
California High School,73030
Whittier High School,73029
Oakview Middle School,71098
Scripps Middle School,71097
Waldon Middle School,71259
Lake Orion High School,71065
Charles Town Middle School,69093
Washington High School,69094
Harpers Ferry Middle School,69628
Shepherdstown Middle School,69629
Wildwood Middle School,70528
Jefferson High School,70529
Ridgeview High School,72090
Western Kentucky University,72746
Mount Holyoke College,72745
Northwest High School,71251
Portland State University,72669
Duke University,72636
Jennings High School,71541
MEMORIAL HIGH SCHOOL,72057
Pangborn Boulevard Elementary,63025
SOUTHSIDE HIGH SCHOOL,68721
DAVID THIBODAUX STEM MAGNET ACADEMY,68874
EARLY COLLEGE ACADEMY,68720
YOUNGSVILLE MIDDLE SCHOOL,71257
NORTHSIDE HIGH SCHOOL,68902
EDGAR MARTIN MIDDLE SCHOOL,68718
LAFAYETTE HIGH SCHOOL,68717
JUDICE MIDDLE SCHOOL,68716
O. COMEAUX HIGH SCHOOL,68824
CARENCRO HIGH SCHOOL,68715
BROUSSARD MIDDLE SCHOOL,69107
L.J. ALLEMAN MIDDLE SCHOOL,69172
ACADIANA HIGH SCHOOL,68713
Donegal High School,60709
Brandywine Heights High School,72471
Oakwood Middle School,72432
South Albany High School,72361
Rancho San Juan High School,61969
La Paz Middle School,61963
Salinas High School,61958
Mount Toro High School,61957
