districtId,districtName,schoolId,schoolName,studentcount,teachercount
67897,Prince William County Public Schools,68178,Benton MS,,
67897,Prince William County Public Schools,68179,Beville MS,,
67897,Prince William County Public Schools,68158,Brentsville District High School,,
67897,Prince William County Public Schools,68159,Bull Run Middle School,,
67897,Prince William County Public Schools,68160,Colgan High School,,
67897,Prince William County Public Schools,68164,Forest Park High School,,
67897,Prince William County Public Schools,68166,Fred M. Lynn Middle School,,
67897,Prince William County Public Schools,68168,Freedom High School,,
67897,Prince William County Public Schools,68169,Gainesville High School,,
67897,Prince William County Public Schools,68171,GAINESVILLE MIDDLE SCHOOL,,
67897,Prince William County Public Schools,68172,Gar-Field Senior High School,,
67897,Prince William County Public Schools,68167,George M. Hampton Middle School,,
67897,Prince William County Public Schools,68170,Graham Park Middle School,,
67897,Prince William County Public Schools,68165,Hylton HS,,
67897,Prince William County Public Schools,68162,Lake Ridge MS,,
67897,Prince William County Public Schools,68137,Marsteller MS,,
67897,Prince William County Public Schools,68138,Nokesville School,,
67897,Prince William County Public Schools,68140,Osbourn Park,,
67897,Prince William County Public Schools,68141,Parkside MS,,
67897,Prince William County Public Schools,68142,Patriot HS,,
67897,Prince William County Public Schools,68144,Pennington Traditional,,
67897,Prince William County Public Schools,68145,Porter Traditional,,
67897,Prince William County Public Schools,68147,Potomac HS,,
67897,Prince William County Public Schools,68148,Potomac MS,,
67897,Prince William County Public Schools,68149,Potomac Shores MS,,
67897,Prince William County Public Schools,67902,Prince William County WAN,,
67897,Prince William County Public Schools,68150,Reagan MS,,
67897,Prince William County Public Schools,68151,Rippon MS,,
67897,Prince William County Public Schools,68152,Saunders MS,,
67897,Prince William County Public Schools,68157,Stuart M. Beville Middle School,,
67897,Prince William County Public Schools,68153,Unity Braxton MS,,
67897,Prince William County Public Schools,68154,Unity Reed HS,,
67897,Prince William County Public Schools,68156,Woodbridge HS,,
67897,Prince William County Public Schools,68161,Woodbridge MS,,
68095,Effingham County Schools,68117,Blandford ES,,1
68095,Effingham County Schools,68912,College & Career + STEM Academy,720,2
68095,Effingham County Schools,68112,Ebenezer ES,,1
68095,Effingham County Schools,68114,Ebenezer MS,84,3
68095,Effingham County Schools,68122,Effingham County HS,1296,11
68095,Effingham County Schools,68111,Effingham County MS,103,2
68095,Effingham County Schools,68115,Guyton ES,,1
68095,Effingham County Schools,68119,Marlow ES,,1
68095,Effingham County Schools,68118,Sand Hill ES,,1
68095,Effingham County Schools,68121,South Effingham ES,,1
68095,Effingham County Schools,68120,South Effingham HS,1131,9
68095,Effingham County Schools,68123,South Effingham MS,205,3
68281,Knoxville CUSD 202,68282,Knoxville High School,11,1
68384,Sacramento City Unified School District - ClassLink,69612,C K McClatchy HS,158,1
68387,Ogden City School District,68392,Ben Lomond High School,123,2
68387,Ogden City School District,68388,Highland Jr. High School,98,1
68387,Ogden City School District,68389,Mound Fort Jr. High School,244,1
68387,Ogden City School District,68391,Mount Ogden Jr. High School,764,4
68387,Ogden City School District,68395,Ogden High School,232,2
68452,Aurora Public School District,76134,Aurora Central High School,,
68452,Aurora Public School District,76139,Charles Burrell Visual and Performing Arts 9-12,,
68452,Aurora Public School District,68453,Gateway High School,89,1
68452,Aurora Public School District,76133,Hinkley High School,,
68452,Aurora Public School District,76731,Hinkley High School,137,1
68452,Aurora Public School District,68454,Rangeview High School,198,2
68515,Ridgefield Park Sch District,68516,Ridgefield Park Junior-Senior High School,295,5
68587,Forsyth County Schools,68835,Alliance Academy,95,1
68587,Forsyth County Schools,69050,Forsyth Academy,1,
68587,Forsyth County Schools,68832,Forsyth Central High School,1,1
