districtId,districtName,schoolId,schoolName
"70550","Department of Defense Education Activity (DoDEA)","71677","Americas - Southeast - Diamond Elementary School"
"70550","Department of Defense Education Activity (DoDEA)","71676","Americas - Southeast - Don C. Faith Middle School"
"70550","Department of Defense Education Activity (DoDEA)","71674","Americas - Southeast - Edward A. White Elementary School"
"70550","Department of Defense Education Activity (DoDEA)","71671","Americas - Southeast - Ellis D. Parker Elementary School"
"70550","Department of Defense Education Activity (DoDEA)","71683","Americas - Southeast - Fort Campbell High School"
"70550","Department of Defense Education Activity (DoDEA)","78472","Americas - Southeast - Fort Campbell Middle School"
"70550","Department of Defense Education Activity (DoDEA)","71684","Americas - Southeast - Fort Knox High School"
"70550","Department of Defense Education Activity (DoDEA)","71673","Americas - Southeast - Freddie Stowers Elementary School"
"70550","Department of Defense Education Activity (DoDEA)","71675","Americas - Southeast - Herbert J. Dexter Elementary School"
"70550","Department of Defense Education Activity (DoDEA)","71690","Americas - Southeast - Kingsolver Elementary School"
"70550","Department of Defense Education Activity (DoDEA)","71681","Americas - Southeast - Marshall Elementary School"
"70550","Department of Defense Education Activity (DoDEA)","71701","Americas - Southeast - Maxwell AFB Elementary/Middle School"
"70550","Department of Defense Education Activity (DoDEA)","71716","Americas - Southeast - Middleton S. Elliott Elementary School"
"70550","Department of Defense Education Activity (DoDEA)","71672","Americas - Southeast - Morris R. McBride Elementary School"
"70550","Department of Defense Education Activity (DoDEA)","71593","Americas - Southeast - Olinto Mark Barsanti Elementary School"
"70550","Department of Defense Education Activity (DoDEA)","71678","Americas - Southeast - Patrick L. Kessler Elementary School"
"70550","Department of Defense Education Activity (DoDEA)","71698","Americas - Southeast - Pierce Terrace Elementary School"
"70550","Department of Defense Education Activity (DoDEA)","78364","Americas - Southeast - Scott Middle School"
"70550","Department of Defense Education Activity (DoDEA)","71685","Americas - Southeast - Van Voorhis Elementary School"
"70550","Department of Defense Education Activity (DoDEA)","71574","DoDEA Virtual High School"
"70550","Department of Defense Education Activity (DoDEA)","71587","Europe - Central - Aukamm Elementary School"
"70550","Department of Defense Education Activity (DoDEA)","71584","Europe - Central - Baumholder Middle/High School"
"70550","Department of Defense Education Activity (DoDEA)","71601","Europe - Central - Kaiserslautern Elementary School"
"70550","Department of Defense Education Activity (DoDEA)","71596","Europe - Central - Kaiserslautern High School"
"70550","Department of Defense Education Activity (DoDEA)","71597","Europe - Central - Kaiserslautern Middle School"
"70550","Department of Defense Education Activity (DoDEA)","71603","Europe - Central - Landstuhl Elementary School"
"70550","Department of Defense Education Activity (DoDEA)","71604","Europe - Central - Ramstein Elementary School"
"70550","Department of Defense Education Activity (DoDEA)","71595","Europe - Central - Ramstein High School"
"70550","Department of Defense Education Activity (DoDEA)","71605","Europe - Central - Ramstein Intermediate School"
"70550","Department of Defense Education Activity (DoDEA)","71598","Europe - Central - Ramstein Middle School"
"70550","Department of Defense Education Activity (DoDEA)","71606","Europe - Central - Sembach Elementary School"
"70550","Department of Defense Education Activity (DoDEA)","71588","Europe - Central - Smith Elementary School"
"70550","Department of Defense Education Activity (DoDEA)","71599","Europe - Central - Vogelweh Elementary School"
"70550","Department of Defense Education Activity (DoDEA)","71589","Europe - Central - Wiesbaden Elementary School"
"70550","Department of Defense Education Activity (DoDEA)","71585","Europe - Central - Wiesbaden High School"
"70550","Department of Defense Education Activity (DoDEA)","71586","Europe - Central - Wiesbaden Middle School"
"70550","Department of Defense Education Activity (DoDEA)","71613","Europe - East - Ansbach Elementary School"
"70550","Department of Defense Education Activity (DoDEA)","71607","Europe - East - Ansbach Middle/High School"
"70550","Department of Defense Education Activity (DoDEA)","71614","Europe - East - Garmisch Elementary/Middle School"
"70550","Department of Defense Education Activity (DoDEA)","71615","Europe - East - Grafenwoehr Elementary School"
"70550","Department of Defense Education Activity (DoDEA)","71617","Europe - East - Hohenfels Elementary School"
"70550","Department of Defense Education Activity (DoDEA)","71608","Europe - East - Hohenfels Middle/High School"
"70550","Department of Defense Education Activity (DoDEA)","71616","Europe - East - Netzaberg Elementary School"
"70550","Department of Defense Education Activity (DoDEA)","71620","Europe - East - Netzaberg Middle School"
"70550","Department of Defense Education Activity (DoDEA)","71618","Europe - East - Patch Elementary School"
"70550","Department of Defense Education Activity (DoDEA)","71619","Europe - East - Patch Middle School"
"70550","Department of Defense Education Activity (DoDEA)","71611","Europe - East - Robinson Barracks Elementary School"
"70550","Department of Defense Education Activity (DoDEA)","71594","Europe - East - Stuttgart Elementary School"
"70550","Department of Defense Education Activity (DoDEA)","71609","Europe - East - Stuttgart High School"
"70550","Department of Defense Education Activity (DoDEA)","71610","Europe - East - Vilseck Elementary School"
"70550","Department of Defense Education Activity (DoDEA)","71612","Europe - East - Vilseck High School"
"70550","Department of Defense Education Activity (DoDEA)","71627","Europe - South - Ankara Elementary/High School"
"70550","Department of Defense Education Activity (DoDEA)","71628","Europe - South - Aviano Elementary School"
"70550","Department of Defense Education Activity (DoDEA)","70774","Europe - South - Aviano Middle/High School"
"70550","Department of Defense Education Activity (DoDEA)","71623","Europe - South - Bahrain Elementary School"
"70550","Department of Defense Education Activity (DoDEA)","70770","Europe - South - Bahrain Middle/High School"
"70550","Department of Defense Education Activity (DoDEA)","71621","Europe - South - Livorno Elementary/Middle School"
"70550","Department of Defense Education Activity (DoDEA)","71624","Europe - South - Naples Elementary School"
"70550","Department of Defense Education Activity (DoDEA)","70771","Europe - South - Naples Middle/High School"
"70550","Department of Defense Education Activity (DoDEA)","71625","Europe - South - Rota Elementary School"
"70550","Department of Defense Education Activity (DoDEA)","70772","Europe - South - Rota Middle/High School"
"70550","Department of Defense Education Activity (DoDEA)","71629","Europe - South - Sevilla Elementary/Middle School"
"70550","Department of Defense Education Activity (DoDEA)","71626","Europe - South - Sigonella Elementary School"
